Species,tip.label,Phylum,Class,Order,Genus,hla,fsa,hla_count,fsa_count,hla_logcount,fsa_logcount
Trametes meyenii,Trametes_meyenii,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,Yes,1,1,0,0
Trametes versicolor FP-101664 SS1,Trametes_versicolor_FP-101664_SS1,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,Yes,1,1,0,0
Wolfiporia cocos MD-104 SS10,Wolfiporia_cocos_MD-104_SS10,Basidiomycota,Agaricomycetes,Polyporales,Wolfiporia,Yes,Yes,1,1,0,0
Bondarzewia mesenterica,Bondarzewia_mesenterica,Basidiomycota,Agaricomycetes,Russulales,Bondarzewia,Yes,Yes,1,1,0,0
Russula aff. rugulosa BPL654,Russula_aff._rugulosa_BPL654,Basidiomycota,Agaricomycetes,Russulales,Russula,Yes,Yes,1,1,0,0
Calocera cornea HHB12733,Calocera_cornea_HHB12733,Basidiomycota,Dacrymycetes,Dacrymycetales,Calocera,Yes,Yes,1,1,0,0
Dacryopinax primogenitus,Dacryopinax_primogenitus,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacryopinax,Yes,Yes,1,1,0,0
Malassezia globosa CBS 7966,Malassezia_globosa_CBS_7966,Basidiomycota,Malasseziomycetes,Malasseziales,Malassezia,Yes,Yes,1,1,0,0
Cronartium quercuum f. sp. fusiforme G11,Cronartium_quercuum_f._sp._fusiforme_G11,Basidiomycota,Pucciniomycetes,Pucciniales,Cronartium,Yes,Yes,1,1,0,0
Melampsora americana,Melampsora_americana,Basidiomycota,Pucciniomycetes,Pucciniales,Melampsora,Yes,Yes,1,1,0,0
Cryptococcus gattii CA1280,Cryptococcus_gattii_CA1280,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcus,Yes,Yes,1,1,0,0
Tremella mesenterica DSM 1558,Tremella_mesenterica_DSM_1558,Basidiomycota,Tremellomycetes,Tremellales,Tremella,Yes,Yes,1,1,0,0
Moesziomyces aphidis,Moesziomyces_aphidis,Basidiomycota,Ustilaginomycetes,Ustilaginales,Moesziomyces,Yes,Yes,1,1,0,0
Pseudozyma flocculosa PF-1,Pseudozyma_flocculosa_PF-1,Basidiomycota,Ustilaginomycetes,Ustilaginales,Pseudozyma,Yes,Yes,1,1,0,0
Ustilago maydis 521,Ustilago_maydis_521,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilago,Yes,Yes,1,1,0,0
Ambispora leptoticha,Ambispora_leptoticha,Mucoromycota,Glomeromycetes,Archaeosporales,Ambispora,Yes,Yes,1,1,0,0
Geosiphon pyriformis,Geosiphon_pyriformis,Mucoromycota,Glomeromycetes,Archaeosporales,Geosiphon,Yes,Yes,1,1,0,0
Diversispora eburnea,Diversispora_eburnea,Mucoromycota,Glomeromycetes,Diversisporales,Diversispora,Yes,Yes,1,1,0,0
Funneliformis geosporum,Funneliformis_geosporum,Mucoromycota,Glomeromycetes,Glomerales,Funneliformis,Yes,Yes,1,2,0,0.693147181
Paraglomus brasilianum,Paraglomus_brasilianum,Mucoromycota,Glomeromycetes,Paraglomerales,Paraglomus,Yes,Yes,1,1,0,0
Paraglomus occultum,Paraglomus_occultum,Mucoromycota,Glomeromycetes,Paraglomerales,Paraglomus,Yes,Yes,1,1,0,0
