"","Organism","n_prot"
"31624","Sporothrix macroconidia",2
"31625","Sporothrix mexicana",11
"31626","Sporothrix narcissi",3
"31627","Sporothrix nebularis",2
"31628","Sporothrix nothofagi",2
"31629","Sporothrix nsini",2
"31630","Sporothrix oleae",1
"31631","Sporothrix pallida",13
"31632","Sporothrix palmiculminata",3
"31633","Sporothrix phasma",2
"31634","Sporothrix polyporicola",2
"31635","Sporothrix prolifera",6
"31636","Sporothrix protea-sedis",1
"31637","Sporothrix protearum",3
"31638","Sporothrix pseudoabietina",2
"31639","Sporothrix rapaneae",3
"31640","Sporothrix resoviensis",3
"31641","Sporothrix rossii",2
"31642","Sporothrix schenckii (Rose-picker's disease fungus)",216
"31643","Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)",8652
"31644","Sporothrix schenckii 1099-18",9842
"31645","Sporothrix smangaliso",5
"31646","Sporothrix sp",4
"31647","Sporothrix sp. 1 ML-2011",1
"31648","Sporothrix sp. 1 PR-2012",1
"31649","Sporothrix sp. 1 WZ-2016",2
"31650","Sporothrix sp. 13 RJ-2015",3
"31651","Sporothrix sp. 14 RJ-2016",3
"31652","Sporothrix sp. 15 RJ-2015",3
"31653","Sporothrix sp. 16 RJ-2015",5
"31654","Sporothrix sp. 17 RJ-2016",3
"31655","Sporothrix sp. 2 ML-2011",1
"31656","Sporothrix sp. 2 PR-2012",1
"31657","Sporothrix sp. 2 RJ-2014",4
"31658","Sporothrix sp. 3 RJ-2014",6
"31659","Sporothrix sp. 4 RJ-2013",3
"31660","Sporothrix sp. 4 RJ-2014",2
"31661","Sporothrix sp. 4335",1
"31662","Sporothrix sp. 5 RJ-2014",2
"31663","Sporothrix sp. 6 RJ-2014",3
"31664","Sporothrix sp. 9 RJ-2013",4
"31665","Sporothrix sp. CBS 115870",2
"31666","Sporothrix sp. CBS 120341",2
"31667","Sporothrix sp. CBS 120342",2
"31668","Sporothrix sp. CBS 156.72",2
"31669","Sporothrix sp. CBS 541.84",3
"31670","Sporothrix sp. CMW109",1
"31671","Sporothrix sp. CMW110",1
"31672","Sporothrix sp. CMW1468",1
"31673","Sporothrix sp. EPF089",1
"31674","Sporothrix sp. EPF127",1
"31675","Sporothrix sp. EPF144",1
"31676","Sporothrix sp. HMW-2018c",1
"31677","Sporothrix sp. HMY-2013",4
"31678","Sporothrix sp. LTT-2012",1
"31679","Sporothrix sp. RM-2006a",5
"31680","Sporothrix sp. RM-2006b",1
"31681","Sporothrix sp. Spor1",1
"31682","Sporothrix sp. Spor3",1
"31683","Sporothrix sp. Spor4",1
"31684","Sporothrix sp. WIN(M)924",1
"31685","Sporothrix splendens",4
"31686","Sporothrix stenoceras",16
"31687","Sporothrix stylites",5
"31688","Sporothrix thermara",1
"31689","Sporothrix uta",2
"31690","Sporothrix variecibatus",8
"31691","Sporothrix zambiensis",2
"31692","Sporotrichum laxum",2
"31693","Spraguea lophii",7
"31694","Spraguea lophii (strain 42_110) (Microsporidian parasite)",2364
"31695","Squamanita aff. umbonata",2
"31696","Squamanita mira",3
"31697","Squamanita orientalis",2
"31698","Squamanita schreieri",2
"31699","Squamanita sororcula",1
"31700","Squamarina cartilaginea",2
"31701","Squamarina gypsacea",2
"31702","Squamarina oleosa",4
"31703","Stachybotrys aloeticola",4
"31704","Stachybotrys bisbyi (Hyalostachybotrys bisbyi)",9
"31705","Stachybotrys cf. chlorohalonata A-2008-4",1
"31706","Stachybotrys cf. chlorohalonata DSM 27589",2
"31707","Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)",11006
"31708","Stachybotrys chartarum (Toxic black mold) (Stilbospora chartarum)",64
"31709","Stachybotrys chartarum IBT 40288",10891
"31710","Stachybotrys chlorohalonata",43
"31711","Stachybotrys chlorohalonata (strain IBT 40285)",10209
"31712","Stachybotrys cylindrospora",3
"31713","Stachybotrys dolichophialis",3
"31714","Stachybotrys elegans",28
"31715","Stachybotrys globosa",2
"31716","Stachybotrys kampalensis",9
"31717","Stachybotrys levispora",4
"31718","Stachybotrys limonispora",5
"31719","Stachybotrys microspora",18
"31720","Stachybotrys nephrospora",1
"31721","Stachybotrys parvispora",2
"31722","Stachybotrys phaeophialis",4
"31723","Stachybotrys reniformis",4
"31724","Stachybotrys sansevieriae",4
"31725","Stachybotrys sp",9
"31726","Stachybotrys sp. 2863",1
"31727","Stachybotrys sp. CBS 525.50",3
"31728","Stachybotrys sp. CBS 949.72",2
"31729","Stachybotrys sp. HGUP0201",2
"31730","Stachybotrys sp. LL-2014",1
"31731","Stachybotrys subcylindrosporus",2
"31732","Stachybotrys subsylvatica",4
"31733","Stachylina lentica",3
"31734","Stachylina sp. NS-X-10",1
"31735","Stagnicola perplexa",2
"31736","Stagonospora cf. paludosa CBS 130005",2
"31737","Stagonospora chrysopyla",1
"31738","Stagonospora cirsii",1
"31739","Stagonospora duoseptata",2
"31740","Stagonospora foliicola",2
"31741","Stagonospora imperaticola",1
"31742","Stagonospora lomandrae",2
"31743","Stagonospora paludosa",2
"31744","Stagonospora perfecta",1
"31745","Stagonospora poaceicola",1
"31746","Stagonospora pseudocaricis",4
"31747","Stagonospora pseudoperfecta",3
"31748","Stagonospora pseudovitensis",3
"31749","Stagonospora sp",1
"31750","Stagonospora sp. CBMAI 1030",2
"31751","Stagonospora sp. CBS 135096",1
"31752","Stagonospora sp. H4-3",1
"31753","Stagonospora sp. KT 903",1
"31754","Stagonospora sp. MFLUCC 13-0281",1
"31755","Stagonospora sp. SAP143",2
"31756","Stagonospora sp. Sn48-1",1
"31757","Stagonospora sp. SRC1lsM3a",14047
"31758","Stagonospora sp. TK-2014",1
"31759","Stagonospora tainanensis",1
"31760","Stagonospora trichophoricola",1
"31761","Stagonospora uniseptata",3
"31762","Stagonospora victoriana",2
"31763","Stagonosporopsis actaeae",4
"31764","Stagonosporopsis ailanthicola",4
"31765","Stagonosporopsis ajacis",3
"31766","Stagonosporopsis andigena",4
"31767","Stagonosporopsis artemisiicola",3
"31768","Stagonosporopsis astragali",3
"31769","Stagonosporopsis bomiensis",2
"31770","Stagonosporopsis caricae",24
"31771","Stagonosporopsis chrysanthemi",15
"31772","Stagonosporopsis citrulli",22
"31773","Stagonosporopsis crystalliniformis",4
"31774","Stagonosporopsis cucumeris",2
"31775","Stagonosporopsis cucurbitacearum",33
"31776","Stagonosporopsis dennisii",7
"31777","Stagonosporopsis dorenboschii",3
"31778","Stagonosporopsis flacciduvarum",2
"31779","Stagonosporopsis helianthi",2
"31780","Stagonosporopsis heliopsidis",7
"31781","Stagonosporopsis hortensis",3
"31782","Stagonosporopsis inoxydabilis",10
"31783","Stagonosporopsis ligulicola",1
"31784","Stagonosporopsis ligulicola var. ligulicola",2
"31785","Stagonosporopsis loticola",9
"31786","Stagonosporopsis lupini",3
"31787","Stagonosporopsis nemophilae",3
"31788","Stagonosporopsis oculi-hominis",3
"31789","Stagonosporopsis papillata",2
"31790","Stagonosporopsis pini",2
"31791","Stagonosporopsis rudbeckiae",2
"31792","Stagonosporopsis sambucella",2
"31793","Stagonosporopsis sp",8
"31794","Stagonosporopsis sp. YH-2018a",2
"31795","Stagonosporopsis sp. YH-2018b",1
"31796","Stagonosporopsis sp. YH-2018c",2
"31797","Stagonosporopsis stuijvenbergii",2
"31798","Stagonosporopsis tanaceti",21
"31799","Stagonosporopsis trachelii",8
"31800","Stagonosporopsis valerianellae",3
"31801","Stagonosporopsis vannaccii",4
"31802","Stagonosporopsis weymaniae",2
"31803","Staninwardia suttonii",7
"31804","Stanjehughesia sp. SN-2020a",4
"31805","Stanjemonium grisellum",1
"31806","Stanjemonium ochroroseum",1
"31807","Staphylotrichum coccosporum",3
"31808","Staphylotrichum limonisporum",10
"31809","Staphylotrichum longicolle",1
"31810","Staphylotrichum sinense",2
"31811","Starmera amethionina",7
"31812","Starmera stellimalicola",2
"31813","Starmerella bacillaris (Yeast) (Candida zemplinina)",23
"31814","Starmerella bombicola (Yeast) (Candida bombicola)",96
"31815","Starmerella cf. sorbosivorans Y54",1
"31816","Starmerella cf. sorbosivorans Y65",1
"31817","Starmerella geochares",3
"31818","Starmerella kourouensis (nom. inval.)",1
"31819","Starmerella magnoliae",16
"31820","Starmerella reginensis (nom. inval.)",2
"31821","Statesia calcarea",1
"31822","Statesia cazaresii",1
"31823","Statesia pompholyx",1
"31824","Statesia zelleri",1
"31825","Staurolemma oculatum",1
"31826","Staurolemma omphalarioides",14
"31827","Staurolemma sp. Aptroot 55941",1
"31828","Staurosphaeria lycii",2
"31829","Staurosphaeria rhamnicola",1
"31830","Staurothele drummondii",1
"31831","Staurothele fissa",3
"31832","Staurothele immersa",1
"31833","Staurothele pulvinata",1
"31834","Staurothele rufa",1
"31835","Steccherinaceae sp",2
"31836","Steccherinum aff. fimbriatum",1
"31837","Steccherinum bourdotii",1
"31838","Steccherinum fimbriatum",3
"31839","Steccherinum laeticolor",1
"31840","Steccherinum litschaueri",1
"31841","Steccherinum meridionale",2
"31842","Steccherinum murashkinskyi",9
"31843","Steccherinum neonitidum",1
"31844","Steccherinum nitidum",4
"31845","Steccherinum ochraceum",11832
"31846","Steccherinum polycystidiferum",1
"31847","Steccherinum sp. 1 OM-2011",2
"31848","Steccherinum sp. 3 OM-2011",1
"31849","Steccherinum straminellum",1
"31850","Steccherinum tenue",4
"31851","Steccherinum tenuispinum",1
"31852","Steccherinum undigerum",1
"31853","Stegobolus anamorphus",2
"31854","Stegonsporium acerinum",1
"31855","Stegonsporium acerophilum",4
"31856","Stegonsporium galeatum",2
"31857","Stegonsporium opalus",7
"31858","Stegonsporium protopyriforme",5
"31859","Stegonsporium pseudopyriforme",5
"31860","Stegonsporium pyriforme",6
"31861","Steinera intricata",1
"31862","Steinera isidiata",2
"31863","Steinera latispora",1
"31864","Steinera lebouvieri",1
"31865","Steinera membranacea",1
"31866","Steinera molybdoplaca",3
"31867","Steinera pannarioides",2
"31868","Steineropsis laceratula",1
"31869","Stellatospora terricola",2
"31870","Stemphylium amaranthi",5
"31871","Stemphylium armeriae",2
"31872","Stemphylium astragali",4
"31873","Stemphylium beticola",6
"31874","Stemphylium botryosum (Black stalk rot fungus) (Pleospora tarda)",21
"31875","Stemphylium callistephi",12
"31876","Stemphylium carpobroti",1
"31877","Stemphylium chrysanthemicola",2
"31878","Stemphylium clematidis",1
"31879","Stemphylium dianthi",1
"31880","Stemphylium drummondii",3
"31881","Stemphylium eturmiunum",33
"31882","Stemphylium globuliferum",2
"31883","Stemphylium gracilariae",10
"31884","Stemphylium halophilum",2
"31885","Stemphylium ixeridis",2
"31886","Stemphylium lancipes",8
"31887","Stemphylium loti",6
"31888","Stemphylium lucomagnoense",1
"31889","Stemphylium lycii",4
"31890","Stemphylium lycopersici",8477
"31891","Stemphylium majusculum",7
"31892","Stemphylium mali",3
"31893","Stemphylium paludiscirpi",7
"31894","Stemphylium platycodonis",2
"31895","Stemphylium rombundicum",2
"31896","Stemphylium sarciniforme",8
"31897","Stemphylium simmonsii",2
"31898","Stemphylium solani",20
"31899","Stemphylium sp",7
"31900","Stemphylium sp. CID1012",1
"31901","Stemphylium sp. CNU094005",2
"31902","Stemphylium sp. CNU094007",2
"31903","Stemphylium sp. CNU094013",2
"31904","Stemphylium sp. CNU094014",2
"31905","Stemphylium sp. CNU094015",2
"31906","Stemphylium sp. EGS08-174",4
"31907","Stemphylium sp. EGS27-1941",2
"31908","Stemphylium sp. EGS27-1942",2
"31909","Stemphylium sp. EGS29-062",2
"31910","Stemphylium sp. EGS29-161",4
"31911","Stemphylium sp. EGS30-181",2
"31912","Stemphylium sp. EGS31-008",4
"31913","Stemphylium sp. EGS35-163",2
"31914","Stemphylium sp. EGS35-169",2
"31915","Stemphylium sp. EGS35-170",2
"31916","Stemphylium sp. EGS35-171",2
"31917","Stemphylium sp. EGS35-187",2
"31918","Stemphylium sp. EGS35-190",2
"31919","Stemphylium sp. EGS38-089",2
"31920","Stemphylium sp. EGS38-090",2
"31921","Stemphylium sp. EGS38-091",2
"31922","Stemphylium sp. EGS40-038",2
"31923","Stemphylium sp. EGS41-153",1
"31924","Stemphylium sp. EGS41-194",2
"31925","Stemphylium sp. EGS42-022",2
"31926","Stemphylium sp. EGS42-055",4
"31927","Stemphylium sp. EGS42-138",3
"31928","Stemphylium sp. EGS44-070",3
"31929","Stemphylium sp. EGS44-149",3
"31930","Stemphylium sp. EGS45-031",4
"31931","Stemphylium sp. EGS45-036",2
"31932","Stemphylium sp. EGS46-183",2
"31933","Stemphylium sp. EGS47-132",2
"31934","Stemphylium sp. EGS47-135",2
"31935","Stemphylium sp. EGS47-197",2
"31936","Stemphylium sp. EGS48-074",5
"31937","Stemphylium sp. EGS48-075",2
"31938","Stemphylium sp. EGS48-077",1
"31939","Stemphylium sp. EGS48-079",1
"31940","Stemphylium sp. EGS48-087",2
"31941","Stemphylium sp. EGS48-089",5
"31942","Stemphylium sp. EGS48-097",2
"31943","Stemphylium sp. EGS48-099",2
"31944","Stemphylium sp. EGS48-101",2
"31945","Stemphylium sp. EGS48-102",2
"31946","Stemphylium sp. EGS48-103",2
"31947","Stemphylium sp. EGS48-104",2
"31948","Stemphylium sp. EGS48-105",2
"31949","Stemphylium sp. EGS48-163",2
"31950","Stemphylium sp. EGS48-165",2
"31951","Stemphylium sp. EGS48-167",2
"31952","Stemphylium sp. EGS48-168",2
"31953","Stemphylium sp. EGS48-169",2
"31954","Stemphylium sp. EGS48-170",2
"31955","Stemphylium sp. EGS48-171",2
"31956","Stemphylium sp. EGS48-172",2
"31957","Stemphylium sp. EGS48-173",2
"31958","Stemphylium sp. EGS48-175",2
"31959","Stemphylium sp. EGS49-029",2
"31960","Stemphylium sp. EGS49-030",4
"31961","Stemphylium sp. EGS49-033",3
"31962","Stemphylium sp. EGS49-034",2
"31963","Stemphylium sp. EGS49-035",2
"31964","Stemphylium sp. EGS49-036",2
"31965","Stemphylium sp. EGS49-037",3
"31966","Stemphylium sp. EGS49-038",2
"31967","Stemphylium sp. EGS49-039",2
"31968","Stemphylium sp. EGS49-040",2
"31969","Stemphylium sp. EGS49-041",2
"31970","Stemphylium sp. EGS49-042",2
"31971","Stemphylium sp. EGS49-043",4
"31972","Stemphylium sp. EGS49-044",2
"31973","Stemphylium sp. EGS49-045",2
"31974","Stemphylium sp. EGS49-046",2
"31975","Stemphylium sp. EGS49-047",2
"31976","Stemphylium sp. EGS49-048",2
"31977","Stemphylium sp. EGS49-050",2
"31978","Stemphylium sp. EGS49-051",2
"31979","Stemphylium sp. EGS49-052",2
"31980","Stemphylium sp. EGS49-053",2
"31981","Stemphylium sp. EGS49-054",2
"31982","Stemphylium sp. EPS118",1
"31983","Stemphylium sp. EPS146",1
"31984","Stemphylium sp. MAFF 235583",3
"31985","Stemphylium sp. MAFF 237254",2
"31986","Stemphylium sp. MAFF 239665",2
"31987","Stemphylium sp. MAFF 239666",2
"31988","Stemphylium sp. MAFF 239667",2
"31989","Stemphylium sp. MAFF 241957",2
"31990","Stemphylium sp. MAFF 241958",2
"31991","Stemphylium sp. MAFF 241959",2
"31992","Stemphylium sp. MAFF 241962",2
"31993","Stemphylium sp. MAFF 243157",2
"31994","Stemphylium sp. MAFF 243796",3
"31995","Stemphylium sp. MAFF 245607",3
"31996","Stemphylium sp. MAFF 245608",3
"31997","Stemphylium sp. MAFF 245609",3
"31998","Stemphylium sp. MAFF 305017",2
"31999","Stemphylium sp. MAFF 305193",2
"32000","Stemphylium sp. MAFF 306687",2
"32001","Stemphylium sp. MAFF 306733",2
"32002","Stemphylium sp. MAFF 306800",2
"32003","Stemphylium sp. MAFF 731070",2
"32004","Stemphylium sp. MAFF 731071",3
"32005","Stemphylium sp. NO 1562",1
"32006","Stemphylium sp. P301",2
"32007","Stemphylium sp. PNYZ13070801",1
"32008","Stemphylium sp. SS1",2
"32009","Stemphylium sp. SS21",2
"32010","Stemphylium sp. SS28",2
"32011","Stemphylium sp. SS31",2
"32012","Stemphylium sp. T-37",1
"32013","Stemphylium spinaciae",1
"32014","Stemphylium subglobuliferum",1
"32015","Stemphylium symphyti",3
"32016","Stemphylium trifolii",8
"32017","Stemphylium triglochinicola",7
"32018","Stemphylium truncatulae",1
"32019","Stemphylium vesicarium",92
"32020","Stemphylium waikerieanum",2
"32021","Stenella araguata",2
"32022","Stenocarpella macrospora",2
"32023","Stenocarpella maydis",6
"32024","Stephanonectria keithii",2
"32025","Stephanophorella stellata",1
"32026","Stephanospora aorangi",3
"32027","Stephanospora caroticolor",3
"32028","Stephanospora cribbae",9
"32029","Stephanospora flava",3
"32030","Stephanospora hystrispora",3
"32031","Stephanospora kanuka",3
"32032","Stephanospora novae-caledoniae",2
"32033","Stephanospora occidentiaustralis",5
"32034","Stephanospora papua",1
"32035","Stephanospora poropingao",2
"32036","Stephanospora pounamu",2
"32037","Stephanospora sheoak",6
"32038","Stephanospora sp. BZ1943",1
"32039","Stephanospora sp. KM108785",1
"32040","Stephanospora sp. OSC131643",1
"32041","Stephanospora sp. Pfister 1114",1
"32042","Stephanospora sp. Pfister 1344",1
"32043","Stephanospora sp. PR6374",1
"32044","Stephanospora sp. Trappe 32734",1
"32045","Stephanospora tetraspora",5
"32046","Stereocaulon alpestre",1
"32047","Stereocaulon alpinum (Alpine snow lichen) (Stereocaulon paschale var. alpinum)",6
"32048","Stereocaulon arcticum",2
"32049","Stereocaulon azoreum",1
"32050","Stereocaulon botryosum",1
"32051","Stereocaulon condensatum",1
"32052","Stereocaulon coniophyllum",5
"32053","Stereocaulon corticatulum",1
"32054","Stereocaulon cumulatum",1
"32055","Stereocaulon curtatum",1
"32056","Stereocaulon dactylophyllum",1
"32057","Stereocaulon delisei",1
"32058","Stereocaulon dendroides",1
"32059","Stereocaulon depreaultii",1
"32060","Stereocaulon evolutum",1
"32061","Stereocaulon exutum",4
"32062","Stereocaulon farinaceum",1
"32063","Stereocaulon foliolosum",3
"32064","Stereocaulon fronduliferum",1
"32065","Stereocaulon glabrum",5
"32066","Stereocaulon glareosum",1
"32067","Stereocaulon grande",1
"32068","Stereocaulon incrustatum",1
"32069","Stereocaulon intermedium",5
"32070","Stereocaulon japonicum",2
"32071","Stereocaulon myriocarpum",3
"32072","Stereocaulon nanodes",3
"32073","Stereocaulon nigrum",1
"32074","Stereocaulon nivale",2
"32075","Stereocaulon octomerellum",4
"32076","Stereocaulon paschale",3
"32077","Stereocaulon pendulum",1
"32078","Stereocaulon pileatum",2
"32079","Stereocaulon plicatile",1
"32080","Stereocaulon ramulosum",1
"32081","Stereocaulon rivulorum",2
"32082","Stereocaulon sasakii",4
"32083","Stereocaulon saxatile",5
"32084","Stereocaulon sorediiferum",5
"32085","Stereocaulon sp",1
"32086","Stereocaulon spathuliferum",3
"32087","Stereocaulon taeniarum",3
"32088","Stereocaulon tomentosum",8
"32089","Stereocaulon tornense",1
"32090","Stereocaulon urceolatum",1
"32091","Stereocaulon verruciferum",1
"32092","Stereocaulon verruculigerum",2
"32093","Stereocaulon vesuvianum",3
"32094","Stereocaulon vesuvianum var. nodulosum",2
"32095","Stereopsis globosa",4
"32096","Stereopsis radicans",3
"32097","Stereopsis sp",1
"32098","Stereum complicatum",1
"32099","Stereum hirsutum",4
"32100","Stereum hirsutum (strain FP-91666) (White-rot fungus)",1560
"32101","Stereum ostrea",2
"32102","Stereum rugosum",3
"32103","Stereum sanguinolentum",3
"32104","Sterigmatobotrys macrocarpa",4
"32105","Sterigmatobotrys rudis",1
"32106","Sterigmatomyces elviae",9
"32107","Sterigmatomyces halophilus",7
"32108","Sterigmatomyces hyphaenes",6
"32109","Sterigmatomyces pulcherrimus",1
"32110","Sterigmatomyces sp",17
"32111","Sterigmatosporidium polymorphum",3
"32112","Sterila eucalypti",2
"32113","Sticta acyphellata",1
"32114","Sticta aff. andreana",1
"32115","Sticta aff. borinquensis",2
"32116","Sticta aff. cordillerana",1
"32117","Sticta aff. guilartensis",4
"32118","Sticta aff. harrisii",3
"32119","Sticta aff. laminobeauvosii",1
"32120","Sticta aff. latifrons",1
"32121","Sticta aff. martinii",1
"32122","Sticta aff. parvilobata",12
"32123","Sticta aff. peltigerella",1
"32124","Sticta aff. subtomentella",1
"32125","Sticta aff. tomentosa",1
"32126","Sticta aff. zahlbruckneri",1
"32127","Sticta ainoae",2
"32128","Sticta andensis",1
"32129","Sticta arachnosylvatica (nom. inval.)",1
"32130","Sticta arbusculotomentosa",1
"32131","Sticta atlantica",1
"32132","Sticta atroandensis",2
"32133","Sticta babingtonii",1
"32134","Sticta beauvoisii",4
"32135","Sticta borinquensis",6
"32136","Sticta caliginosa",1
"32137","Sticta canariensis",3
"32138","Sticta caperata",6
"32139","Sticta carolinensis",1
"32140","Sticta cf. lherminieri",1
"32141","Sticta cf. sinuosa",1
"32142","Sticta ciliata",4
"32143","Sticta cinereoglauca",3
"32144","Sticta cometia",1
"32145","Sticta cometiella",1
"32146","Sticta corymbosa",3
"32147","Sticta crispata",1
"32148","Sticta cyphellulata",1
"32149","Sticta dendroides",3
"32150","Sticta densiphyllidiata",3
"32151","Sticta dichotoma",5
"32152","Sticta duplolimbata",1
"32153","Sticta filix",6
"32154","Sticta flynnii",1
"32155","Sticta fuliginoides",3
"32156","Sticta fuliginosa",14
"32157","Sticta fuscotomentosa",1
"32158","Sticta gallowayana",2
"32159","Sticta guilartensis",11
"32160","Sticta gyalocarpa",1
"32161","Sticta harrisii",22
"32162","Sticta hawaiiensis",3
"32163","Sticta humboldtii",1
"32164","Sticta impressula",1
"32165","Sticta isidiokunthii",2
"32166","Sticta lacera",1
"32167","Sticta laevis",1
"32168","Sticta latifrons",8
"32169","Sticta leucoblepharis",1
"32170","Sticta limbata",6
"32171","Sticta lobarioides",2
"32172","Sticta macrophylla",3
"32173","Sticta macrothallina",2
"32174","Sticta maculofuliginosa",1
"32175","Sticta menziesii",8
"32176","Sticta minutula",1
"32177","Sticta neopulmonarioides",2
"32178","Sticta papillata",1
"32179","Sticta parahumboldtii",1
"32180","Sticta parvilobata",10
"32181","Sticta phyllidiokunthii",2
"32182","Sticta plumbeociliata",1
"32183","Sticta pseudohumboldtii",1
"32184","Sticta riparia",7
"32185","Sticta scabrosa",12
"32186","Sticta sp",37
"32187","Sticta sp. 'aff. laciniosa'",1
"32188","Sticta sp. 'aff. orinoquensis'",1
"32189","Sticta sp. 'paramuna'",1
"32190","Sticta sp. 1 NM-2015",2
"32191","Sticta sp. 11 HL-2020",1
"32192","Sticta sp. 12 HL-2020",1
"32193","Sticta sp. 21 HL-2020",1
"32194","Sticta sp. 4 HL-2020",1
"32195","Sticta sp. 6 HL-2020",3
"32196","Sticta sp. RL-2013ad",1
"32197","Sticta sp. RL-2013ae",1
"32198","Sticta sp. RL-2013ah",2
"32199","Sticta sp. RL-2013ai",1
"32200","Sticta sp. RL-2013aj",1
"32201","Sticta sp. RL-2013d",1
"32202","Sticta sp. RL-2013l",1
"32203","Sticta sp. RL-2013p",1
"32204","Sticta sp. RL-2013q",1
"32205","Sticta sp. RL-2013r",1
"32206","Sticta sp. RL-2013t",1
"32207","Sticta sp. RL-2013v",2
"32208","Sticta sp. TW-2018b",2
"32209","Sticta sp. TW-2018c",4
"32210","Sticta sp. TW-2018g",1
"32211","Sticta sp. TW-2018h",1
"32212","Sticta sp. TW-2018i",1
"32213","Sticta sp. TW-2018k",1
"32214","Sticta sp. TW-2018l",2
"32215","Sticta sp. TW-2018m",1
"32216","Sticta sp. TW-2018n",1
"32217","Sticta sp. TW-2018s",1
"32218","Sticta sp. TW-2018t",1
"32219","Sticta sp. TW-2018u",1
"32220","Sticta sp. TW-2018v",1
"32221","Sticta sp. TW-2018x",1
"32222","Sticta sp. TW-2018y",1
"32223","Sticta sp. TW-2018z",1
"32224","Sticta squamata",4
"32225","Sticta stipitata",4
"32226","Sticta subcaperata",12
"32227","Sticta sublimbata",2
"32228","Sticta sylvatica",1
"32229","Sticta tainorum",6
"32230","Sticta tomentosa",1
"32231","Sticta umbilicariiformis",1
"32232","Sticta variabilis",5
"32233","Sticta weigelii",9
"32234","Stictis populorum",1
"32235","Stictis radiata",2
"32236","Stictis sp. 1-MW-2004",2
"32237","Stictis sp. 2-MW-2004",2
"32238","Stictis sp. 3-MW-2004",1
"32239","Stictis urceolata",3
"32240","Stigmatodiscus enigmaticus",10
"32241","Stigmatodiscus labiatus",3
"32242","Stigmatodiscus oculatus",5
"32243","Stigmatodiscus pinicola",2
"32244","Stigmatodiscus pruni",3
"32245","Stigmina platani",1
"32246","Stilbella aciculosa",2
"32247","Stilbella sp. C1",1
"32248","Stilbochaeta cangshanensis",2
"32249","Stilbochaeta septata",1
"32250","Stilbochaeta submersa",1
"32251","Stilbocrea macrostoma",7
"32252","Stilbocrea walteri",3
"32253","Stilbohypoxylon elaeicola",3
"32254","Stilbohypoxylon elaeidis",5
"32255","Stilbohypoxylon quisquiliarum",2
"32256","Stilbospora longicornuta",4
"32257","Stilbospora macrosperma",3
"32258","Stilbospora orientalis",3
"32259","Stipitochalara longipes",9
"32260","Stipitochalara piceae-abietis",2
"32261","Stipitochalara recta",1
"32262","Stolonocarpus gigasporus",3
"32263","Stomiopeltis syzygii",3
"32264","Stomiopeltopsis antidesmatis",3
"32265","Stouffera gilkeyae",6
"32266","Strasseria geniculata",2
"32267","Strelitziana africana",1
"32268","Strelitziana syzygii",3
"32269","Strelitziomyces knysnanus",1
"32270","Streptobotrys caulophylli",4
"32271","Streptobotrys sp",3
"32272","Striatibotrys atypica",4
"32273","Striatibotrys eucylindrospora",13
"32274","Striatibotrys humicola",4
"32275","Striatibotrys neoeucylindrosporus",8
"32276","Striatibotrys oleronensis",3
"32277","Striatibotrys rhabdospora",9
"32278","Striatibotrys yuccae",4
"32279","Striaticonidium brachysporum",12
"32280","Striaticonidium cinctum",11
"32281","Striaticonidium deklijnearum",2
"32282","Striaticonidium humicola",5
"32283","Striaticonidium synnematum",3
"32284","Striatiguttula nypae",3
"32285","Striatiguttula phoenicis",2
"32286","Striatosphaeria codinaeaphora",1
"32287","Strickeria kochii",2
"32288","Strigula acuticonidiarum",2
"32289","Strigula antillarum",2
"32290","Strigula cf. atrocarpoides",2
"32291","Strigula cf. macaronesica",3
"32292","Strigula cf. smaragdula",3
"32293","Strigula guangxiensis",2
"32294","Strigula macrocarpa",3
"32295","Strigula nitidula",2
"32296","Strigula prasina",1
"32297","Strigula schizospora",1
"32298","Strigula sinoaustralis",2
"32299","Strigula univelbiserialis",3
"32300","Strigulaceae sp. SHJ-2019c",3
"32301","Strobilomyces aff. confusus L4-s170",1
"32302","Strobilomyces aff. confusus L4-s370",1
"32303","Strobilomyces aff. confusus L4-s405",1
"32304","Strobilomyces aff. confusus L4-s421",1
"32305","Strobilomyces aff. confusus L5-s189",1
"32306","Strobilomyces aff. confusus L5-s396",1
"32307","Strobilomyces aff. confusus L5-s409",1
"32308","Strobilomyces aff. confusus L5-s410",1
"32309","Strobilomyces aff. confusus L5-s416",1
"32310","Strobilomyces aff. confusus L5-ST46",1
"32311","Strobilomyces aff. confusus L5-ST7",1
"32312","Strobilomyces aff. confusus L5-ST81",68
"32313","Strobilomyces aff. confusus s434",50
"32314","Strobilomyces aff. confusus SC1-1",2
"32315","Strobilomyces aff. confusus SC1-2",2
"32316","Strobilomyces aff. confusus SC1-3",2
"32317","Strobilomyces aff. confusus SC1-4",2
"32318","Strobilomyces aff. confusus SC1-5",2
"32319","Strobilomyces aff. confusus SC2-1",2
"32320","Strobilomyces aff. confusus SC2-2",2
"32321","Strobilomyces aff. confusus SC2-3",2
"32322","Strobilomyces aff. confusus SC2-4",2
"32323","Strobilomyces aff. confusus SC2-5",2
"32324","Strobilomyces aff. foveatus L7-fb19",1
